,0
0.0,0.0
1.0,100.05826740117602
2.0,100.10517975982702
3.0,100.15457338562696
4.0,100.54308120573845
5.0,100.03452707619387
6.0,100.58467510598568
7.0,100.05215908704955
8.0,100.61000631205181
9.0,100.0020567160867
10.0,100.60726825334366
11.0,100.08697405772293
12.0,100.0801927388431
13.0,100.60443561453934
14.0,100.10837731254256
15.0,100.27069402783117
16.0,100.04215577660254
17.0,40.18405903698367
18.0,40.21814248617041
19.0,40.64290653744721
20.0,40.02641771262775
21.0,40.22205160182488
22.0,40.00061543316361
23.0,40.16991713584019
24.0,40.339246406575036
25.0,40.00685635189374
26.0,40.09731648654032
27.0,40.014573569283634
28.0,40.16307823784199
29.0,40.027908827357976
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.0
62.0,0.0
63.0,0.0
64.0,0.0
65.0,0.0
66.0,0.0
67.0,0.0
68.0,0.0
69.0,0.0
70.0,89.73748820494936
71.0,89.76949988677737
72.0,89.71676452838061
73.0,89.792228676595
74.0,40.00945697156982
75.0,40.309345628644955
76.0,40.30908601130337
77.0,40.02161779766276
78.0,40.04847729543136
79.0,41.02025790865113
80.0,40.192770746629414
81.0,40.2676256279535
82.0,40.05149112071954
83.0,40.34351651503746
84.0,40.102017190697424
85.0,40.05707382047321
86.0,40.01213167753448
87.0,40.463102515418655
88.0,40.05758978839185
89.0,40.186052824576116
90.0,40.292144113732924
91.0,40.07415835190845
92.0,40.31412173515449
93.0,40.06718968359846
94.0,40.031841887258786
95.0,40.31907016006614
96.0,40.11972081378148
