,0
0.0,0.0
1.0,100.04889609542307
2.0,100.00292721577057
3.0,100.04393836604034
4.0,100.15109872765407
5.0,100.1316951697966
6.0,100.38101187360235
7.0,100.44475938643257
8.0,100.2556414684659
9.0,100.15219950451599
10.0,100.21606938919453
11.0,100.24407930174482
12.0,100.04079358739492
13.0,100.2174598720251
14.0,100.57412104568338
15.0,100.33549304274362
16.0,100.51581303787928
17.0,100.43337048770967
18.0,100.01444780250498
19.0,100.14442107748972
20.0,100.10224284046521
21.0,100.21274387636016
22.0,100.30747989233625
23.0,100.050635279632
24.0,100.06580669079744
25.0,100.6275157671914
26.0,100.76131632197985
27.0,100.14048517026296
28.0,100.02867731787174
29.0,100.06543933202985
30.0,100.19960644371895
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.0
62.0,0.0
63.0,0.0
64.0,0.0
65.0,0.0
66.0,0.0
67.0,0.0
68.0,0.0
69.0,0.0
70.0,0.0
71.0,80.34820869703097
72.0,80.1670813004299
73.0,80.11269963330973
74.0,80.13773791619964
75.0,80.3938295779995
76.0,80.09032272144985
77.0,40.12226903217036
78.0,40.14680621515431
79.0,40.2106532434509
80.0,40.309554083640414
81.0,40.05813008963845
82.0,40.151830208534875
83.0,40.054546925544194
84.0,40.36433185297473
85.0,40.091930121960054
86.0,40.223215336706836
87.0,40.100596022646315
88.0,40.08475776194026
89.0,40.3390435674192
90.0,40.02228657810448
91.0,40.12606784352986
92.0,40.30712431616197
93.0,40.290924760468656
94.0,40.05512019345944
95.0,40.222058604348064
96.0,40.332913370582446
97.0,40.53006432575739
98.0,40.681124656420614
99.0,40.00202708384668
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,0.0
129.0,0.0
130.0,0.0
131.0,0.0
132.0,0.0
133.0,0.0
134.0,0.0
135.0,0.0
136.0,0.0
137.0,0.0
138.0,0.0
139.0,0.0
140.0,99.48767343892297
141.0,99.59447044666821
142.0,99.49836629454349
143.0,99.55503327764787
144.0,40.27990864708848
145.0,40.21131286587922
146.0,40.06100193530609
147.0,40.33921387904782
148.0,41.03796327882941
149.0,40.17361387255691
150.0,40.387218712386
151.0,40.21979708297274
152.0,40.25477591372765
153.0,40.08301404426431
154.0,40.37284073286619
155.0,40.24427788201691
156.0,40.18493045462116
157.0,40.026341100136385
158.0,40.92038929143965
159.0,40.237305113600634
160.0,40.020122738194715
161.0,40.00384415228444
162.0,40.14934044525877
